set_id;reference_yt_id;yt_id;seed;sample_group;label;nlabel;ditto_pred;re-move_pred;has_crema;has_cqt_20;has_cqt_ch;in_datacos;in_shs100k_train;in_shs100k_val;in_shs100k_test
21;STuFITcXas0;AmTcG2W6N7Q;False;DisAgrMus;Version;2;0.315557840676531;0.57267207;True;True;True;False;False;False;False
21;STuFITcXas0;FUPbOa6wvAU;False;DisAgrMus;Non-Version;1;0.0033261657995004;0.2451448;True;True;True;False;False;False;False
21;STuFITcXas0;Lxk-9VFycjc;False;MutUnc;Non-Version;1;0.543336806428525;0.23119307;True;True;True;False;False;False;False
21;STuFITcXas0;ODsC3nuGluE;False;DisAgrTxt;Version;2;0.999804087647302;-0.12777445;True;True;True;False;False;False;False
21;STuFITcXas0;Qkn2PFxFe1Y;False;DisAgrTxt;Non-Version;1;0.999801694912562;-0.10478677;True;True;True;False;False;False;False
21;STuFITcXas0;bUTklFbeZWE;False;MutUnc;Non-Version;1;0.537043446649342;0.15736452;True;True;True;False;False;False;False
21;STuFITcXas0;dHoo6LAK_HA;False;DisAgrMus;Non-Version;1;0.0006466698259283;0.3130613;True;True;True;False;False;False;False
21;STuFITcXas0;uwevOLbBrd8;False;DisAgrTxt;Non-Version;1;0.999801541224766;-0.10654728;True;True;True;False;False;False;False
21;STuFITcXas0;zCWJQEnzp8Y;False;MutUnc;Non-Version;1;0.495753725634813;0.15396585;True;True;True;False;False;False;False
58;mEl_eQQ_q0c;0u0M4CMq7uI;False;MutUnc;Non-Version;1;0.546980905230506;0.14061162;True;True;True;False;False;False;False
58;mEl_eQQ_q0c;7ZA3HIGsPM0;False;DisAgrTxt;Version;2;0.999804377066717;-0.06553931;True;True;True;False;False;False;False
58;mEl_eQQ_q0c;B_rt1JsAdQs;False;DisAgrMus;Non-Version;1;0.0006321365919753;0.3022968;True;True;True;False;False;False;False
58;mEl_eQQ_q0c;GgiCroHhyZQ;False;DisAgrTxt;No Music;0;0.9998042685729;-0.066436306;True;True;True;False;False;False;False
58;mEl_eQQ_q0c;Q7sd7EhnB44;False;DisAgrMus;Non-Version;1;0.0034827067201657;0.27518;True;True;True;False;False;False;False
58;mEl_eQQ_q0c;XXkTKkspQBI;False;DisAgrMus;Non-Version;1;0.0006159291520474;0.299767;True;True;True;False;False;False;False
58;mEl_eQQ_q0c;dWad144G8pQ;False;MutUnc;Non-Version;1;0.594378036347592;0.17831753;True;True;True;False;False;False;False
58;mEl_eQQ_q0c;kMU2S4G7qkY;False;MutUnc;Non-Version;1;0.524062040402581;0.19473867;True;True;True;False;False;False;False
58;mEl_eQQ_q0c;wvm0nOtExb0;False;DisAgrTxt;Non-Version;1;0.999803663058619;-0.055762544;True;True;True;False;False;False;False
63;uhWb-Avb9Yc;7BvN_0PAqlQ;False;MutUnc;Non-Version;1;0.483746133320523;0.28145626;True;True;True;False;False;False;False
63;uhWb-Avb9Yc;BSByOeew1rU;False;DisAgrTxt;Non-Version;1;0.999795354106339;-0.10492949;True;True;True;False;False;False;False
63;uhWb-Avb9Yc;BaJwCYzFRWU;False;MutUnc;Non-Version;1;0.52886080254238;0.20073086;True;True;True;False;False;False;False
63;uhWb-Avb9Yc;DvTVMf9fLJg;False;DisAgrTxt;Non-Version;1;0.99754433705798;-0.082678415;True;True;True;False;False;False;False
63;uhWb-Avb9Yc;FhIBYl-WMQc;False;DisAgrMus;Non-Version;1;0.0006136568334499;0.4215781;True;True;True;False;False;False;False
63;uhWb-Avb9Yc;SxwP9FHtFiE;False;MutUnc;Non-Version;1;0.516428027767517;0.20582686;True;True;True;False;False;False;False
63;uhWb-Avb9Yc;eKPUD81KuBY;False;DisAgrMus;Non-Version;1;0.001294425054068;0.41964787;True;True;True;False;False;False;False
